compartment,gene,ensg,split,secondary_localisations,n_interactors,protein_copy_number
vesicles,KIAA0319L,ENSG00000142687,training,golgi:2,2,23499.02702322
vesicles,MFSD12,ENSG00000161091,training,,0,1630.951170828
vesicles,PIKFYVE,ENSG00000115020,training,cytoplasmic:2,2,16568.48179602
vesicles,SEC31A,ENSG00000138674,training,cytoplasmic:1;golgi:2,5,405137.2696154
vesicles,SLC7A1,ENSG00000139514,training,membrane:1,0,109270.481054
vesicles,SNX4,ENSG00000114520,training,cytoplasmic:2,5,115924.197123
vesicles,SPNS1,ENSG00000169682,training,,0,39660.1556645
vesicles,SQSTM1,ENSG00000161011,training,cytoplasmic:2;nuclear_punctae:2;nucleoplasm:1,2,246340.7349172
vesicles,STX7,ENSG00000079950,training,,35,207919.003208
vesicles,TMED2,ENSG00000086598,training,er:2,0,1160288.835986
vesicles,VPS35,ENSG00000069329,training,,0,483844.1423424
er,ARF4,ENSG00000168374,held-out,golgi:1,8,706836.956336
er,DDOST,ENSG00000244038,held-out,,124,701542.655898
er,EMC2,ENSG00000104412,held-out,,10,348670.1179248
er,EMC3,ENSG00000125037,held-out,,11,186666.648679
er,MBOAT7,ENSG00000125505,held-out,,3,39925.57083648
er,PTDSS2,ENSG00000174915,held-out,,17,34386.88764364
er,RAB10,ENSG00000084733,held-out,golgi:2;vesicles:1,5,529785.1249516
er,SGPL1,ENSG00000166224,held-out,vesicles:1,6,93953.7458706
er,ARL6IP1,ENSG00000170540,training,,19,183854.6412416
er,CCDC47,ENSG00000108588,training,,0,543493.3177002
er,EMC1,ENSG00000127463,training,,7,183269.4008614
er,GPAT4,ENSG00000158669,training,vesicles:1,2,35096.5037101
er,INPP5K,ENSG00000132376,training,,3,16929.93835638
er,NCLN,ENSG00000125912,training,vesicles:1,0,191158.954784
er,OSBPL8,ENSG00000091039,training,cell_contact:2;membrane:2;vesicles:2,5,65511.3366768
er,OST4,ENSG00000228474,training,,0,501797.3045324101
er,RTN4,ENSG00000115310,training,membrane:2,0,339211.4907944
er,SPTLC1,ENSG00000090054,training,vesicles:1,24,233774.1795438
er,SRPRA,ENSG00000182934,training,,7,157754.9279306
er,STT3A,ENSG00000134910,training,,10,166675.409201
er,STT3B,ENSG00000163527,training,,59,71809.019772
er,STX18,ENSG00000168818,training,,19,144910.7366588
er,TMEM147,ENSG00000105677,training,,14,3431.939661094
er,TMEM208,ENSG00000168701,training,,0,28432.1285388
nucleolus_gc,C7orf50,ENSG00000146540,held-out,chromatin:1;nucleoplasm:2,0,361332.8553198
nucleolus_gc,CCDC86,ENSG00000110104,held-out,nucleoplasm:1,0,251289.232649
nucleolus_gc,DDX21,ENSG00000165732,held-out,,184,1513194.642526
nucleolus_gc,NOM1,ENSG00000146909,held-out,chromatin:1,1,59397.68286858
nucleolus_gc,NOP2,ENSG00000111641,held-out,,3,621876.3977440001
nucleolus_gc,RBM28,ENSG00000106344,held-out,,1,397188.4011746
nucleolus_gc,RSL1D1,ENSG00000171490,held-out,,14,1135939.009954
nucleolus_gc,SLX9,ENSG00000160256,held-out,cytoplasmic:1;nucleoplasm:2,17,250182.270835
nucleolus_gc,AATF,ENSG00000275700,training,,3,314658.8021402
nucleolus_gc,BOP1,ENSG00000261236,training,,2,548934.5432816
nucleolus_gc,C18orf21,ENSG00000141428,training,nuclear_punctae:1,0,58844.72881392
nucleolus_gc,DHX37,ENSG00000150990,training,nucleoplasm:1,5,109682.1104134
nucleolus_gc,GNL3,ENSG00000163938,training,,16,873895.302854
nucleolus_gc,MPHOSPH10,ENSG00000124383,training,,4,215150.1689946
nucleolus_gc,NIFK,ENSG00000155438,training,,1,636756.359834
nucleolus_gc,NMD3,ENSG00000169251,training,cytoplasmic:2;nucleoplasm:1,2,289865.423953
nucleolus_gc,NVL,ENSG00000143748,training,nucleoplasm:1,4,215986.3384462
nucleolus_gc,PDCD11,ENSG00000148843,training,,2,278492.5849748
nucleolus_gc,RBM34,ENSG00000188739,training,,1,411838.2399152
nucleolus_gc,SPOUT1,ENSG00000198917,training,,0,60025.81635078
nucleolus_gc,SRP9,ENSG00000143742,training,cytoplasmic:1;nucleoplasm:2,283,1276583.79618
nucleolus_gc,USP36,ENSG00000055483,training,,2,42509.51392702
nucleolus_gc,UTP14A,ENSG00000156697,training,nucleoplasm:1,6,312124.555155
nucleolus_gc,WDR12,ENSG00000138442,training,nucleoplasm:1,5,617235.366636
chromatin,EFTUD2,ENSG00000108883,held-out,nuclear_punctae:2,27,1069582.051944
chromatin,PRPF4B,ENSG00000112739,held-out,nuclear_punctae:2,78,182431.9773234
chromatin,RBM22,ENSG00000086589,held-out,,2,350644.3656674
chromatin,RBM42,ENSG00000126254,held-out,,230,196059.6589532
chromatin,RBM8A,ENSG00000265241,held-out,,265,3319762.9154760004
chromatin,SNRPB2,ENSG00000125870,held-out,nuclear_punctae:2,73,1246667.1695939999
chromatin,SNRPF,ENSG00000139343,held-out,,214,770396.229512
chromatin,TOP1,ENSG00000198900,held-out,nucleoplasm:1,319,929322.4963540001
chromatin,AKAP8L,ENSG00000011243,training,nuclear_punctae:2,2,247147.8635878
chromatin,BAZ1A,ENSG00000198604,training,,2,140904.6682414
chromatin,CTNNBL1,ENSG00000132792,training,,11,317988.8013806
chromatin,JUNB,ENSG00000171223,training,nucleoplasm:2,2,6159.2750177
chromatin,NUCKS1,ENSG00000069275,training,nucleolar_ring:2;nucleoplasm:2,0,881759.3516620001
chromatin,PRPF19,ENSG00000110107,training,nucleoplasm:2,25,2365345.77762
chromatin,RAD21,ENSG00000164754,training,nucleoplasm:1,7,279983.2088536
chromatin,RBM10,ENSG00000182872,training,,2,239619.7417964
chromatin,RBM33,ENSG00000184863,training,nucleoplasm:2,31,52405.67336312
chromatin,RBM5,ENSG00000003756,training,,5,65406.8179184
chromatin,SF3A1,ENSG00000099995,training,,137,1025048.3994100001
chromatin,SF3B1,ENSG00000115524,training,,124,1017245.979148
chromatin,SF3B2,ENSG00000087365,training,,30,893832.787946
chromatin,SF3B3,ENSG00000189091,training,,52,779713.003048
chromatin,SF3B6,ENSG00000115128,training,,37,558525.6603178
chromatin,TRIM24,ENSG00000122779,training,nucleoplasm:2,2,85842.782368
membrane,AP2B1,ENSG00000006125,held-out,vesicles:2,13,716910.70514
membrane,ATP2B1,ENSG00000070961,held-out,vesicles:1,10,176252.4609286
membrane,CDC42BPB,ENSG00000198752,held-out,nucleoplasm:1,16,53983.58105336
membrane,EZR,ENSG00000092820,held-out,,5,946450.364972
membrane,HSPA12A,ENSG00000165868,held-out,cell_contact:2;cytoplasmic:1;nucleoplasm:1,4,34733.14576886
membrane,PI4KA,ENSG00000241973,held-out,cytoplasmic:2;nucleoplasm:1;vesicles:1,7,36240.79303376
membrane,PICALM,ENSG00000073921,held-out,,12,322451.1245144
membrane,SEPTIN7,ENSG00000122545,held-out,cytoplasmic:2;cytoskeleton:2,10,1181377.786344
membrane,AKAP12,ENSG00000131016,training,big_aggregates:2;cytoplasmic:2,10,247802.045008
membrane,AKT2,ENSG00000105221,training,cytoplasmic:2;nucleoplasm:2;vesicles:1,4,45300.82799368
membrane,AP2S1,ENSG00000042753,training,cytoplasmic:1,15,185027.905951
membrane,ARF6,ENSG00000165527,training,cytoplasmic:2,0,315280.3404114
membrane,CORO1B,ENSG00000172725,training,vesicles:2,19,337807.3773256
membrane,CTNNB1,ENSG00000168036,training,vesicles:2,21,191769.5151036
membrane,KRAS,ENSG00000133703,training,cytoplasmic:1,20,69366.8114832
membrane,MYO1B,ENSG00000128641,training,cell_contact:2,8,96674.4633792
membrane,MYO1C,ENSG00000197879,training,cytoplasmic:1,4,97191.385669
membrane,PACSIN3,ENSG00000165912,training,cell_contact:2;cytoplasmic:1,8,130827.2610232
membrane,PIP4K2C,ENSG00000166908,training,er:2;nucleoplasm:1,5,144163.2172456
membrane,PIP5K1C,ENSG00000186111,training,cytoplasmic:2;vesicles:1,3,9161.7491749
membrane,PLPP1,ENSG00000067113,training,er:1;vesicles:2,0,12758.98305402
membrane,RAC1,ENSG00000136238,training,cytoplasmic:2;nuclear_punctae:1;nucleoplasm:2,20,442897.3988969907
membrane,UTRN,ENSG00000152818,training,cytoplasmic:1;nucleoplasm:1,12,61038.000856
membrane,YES1,ENSG00000176105,training,cytoplasmic:1,5,97881.5668698
