compartment,protein_a,protein_b,a_split,b_in_sample
chromatin,SF3A1,SF3A3,training,False
chromatin,SF3A1,SF3B1,training,True
chromatin,SF3A1,SF3B2,training,True
chromatin,SF3A1,SF3B3,training,True
chromatin,SF3A1,SF3B5,training,False
chromatin,SF3A1,SF3B6,training,True
chromatin,SF3A1,SNRNP40,training,False
chromatin,SF3A1,SNRPD2,training,False
chromatin,SF3A1,U2SURP,training,False
chromatin,SF3B1,DDX39B,training,False
chromatin,SF3B1,EFTUD2,training,True
chromatin,SF3B1,PRPF19,training,True
chromatin,SF3B1,PRPF8,training,False
chromatin,SF3B1,RBM10,training,True
chromatin,SF3B1,RBM17,training,False
chromatin,SF3B1,RBM22,training,True
chromatin,SF3B1,RBM25,training,False
chromatin,SF3B1,RBM8A,training,True
chromatin,SF3B1,SF3A3,training,False
chromatin,SF3B1,SF3B2,training,True
chromatin,SF3B1,SF3B3,training,True
chromatin,SF3B1,SF3B5,training,False
chromatin,SF3B1,SF3B6,training,True
chromatin,SF3B1,SNRNP40,training,False
chromatin,SF3B1,SNRPD2,training,False
chromatin,SF3B1,U2SURP,training,False
chromatin,SF3B2,SF3A3,training,False
chromatin,SF3B2,SF3B3,training,True
chromatin,SF3B2,SF3B5,training,False
chromatin,SF3B2,SF3B6,training,True
chromatin,SF3B2,SNRPD2,training,False
chromatin,SF3B3,SF3A3,training,False
chromatin,SF3B3,SF3B5,training,False
chromatin,SF3B3,SF3B6,training,True
chromatin,SF3B3,SNRPD2,training,False
chromatin,SF3B6,SF3A3,training,False
chromatin,SF3B6,SF3B5,training,False
chromatin,SF3B6,SNRPD2,training,False
chromatin,SNRPB2,DDX39B,held-out,False
chromatin,SNRPB2,EFTUD2,held-out,True
chromatin,SNRPB2,PRPF8,held-out,False
chromatin,SNRPB2,RBM22,held-out,True
chromatin,SNRPB2,RBM25,held-out,False
chromatin,SNRPB2,RBM8A,held-out,True
chromatin,SNRPB2,SF3A1,held-out,True
chromatin,SNRPB2,SF3A3,held-out,False
chromatin,SNRPB2,SF3B1,held-out,True
chromatin,SNRPB2,SF3B2,held-out,True
chromatin,SNRPB2,SF3B3,held-out,True
chromatin,SNRPB2,SF3B5,held-out,False
chromatin,SNRPB2,SF3B6,held-out,True
chromatin,SNRPB2,SNRNP40,held-out,False
chromatin,SNRPB2,SNRPD2,held-out,False
chromatin,SNRPB2,SNRPF,held-out,True
chromatin,SNRPF,CTNNBL1,held-out,True
chromatin,SNRPF,DDX39B,held-out,False
chromatin,SNRPF,PRPF19,held-out,True
chromatin,SNRPF,PRPF4B,held-out,True
chromatin,SNRPF,PRPF8,held-out,False
chromatin,SNRPF,RBM22,held-out,True
chromatin,SNRPF,RBM8A,held-out,True
chromatin,SNRPF,SF3A1,held-out,True
chromatin,SNRPF,SF3A3,held-out,False
chromatin,SNRPF,SF3B1,held-out,True
chromatin,SNRPF,SF3B2,held-out,True
chromatin,SNRPF,SF3B3,held-out,True
chromatin,SNRPF,SF3B5,held-out,False
chromatin,SNRPF,SF3B6,held-out,True
chromatin,SNRPF,SNRNP40,held-out,False
chromatin,SNRPF,SNRPD2,held-out,False
chromatin,TOP1,BAZ1B,held-out,False
chromatin,TOP1,CTNNBL1,held-out,True
chromatin,TOP1,DDX39B,held-out,False
chromatin,TOP1,DHX9,held-out,False
chromatin,TOP1,EFTUD2,held-out,True
chromatin,TOP1,H2AZ1,held-out,False
chromatin,TOP1,PRPF19,held-out,True
chromatin,TOP1,PRPF4B,held-out,True
chromatin,TOP1,PRPF8,held-out,False
chromatin,TOP1,RBM10,held-out,True
chromatin,TOP1,RBM22,held-out,True
chromatin,TOP1,RBM8A,held-out,True
chromatin,TOP1,SMARCA5,held-out,False
chromatin,TOP1,SNRNP40,held-out,False
chromatin,TOP1,SNRPD2,held-out,False
chromatin,TOP1,SNRPF,held-out,True
chromatin,TOP1,TRIM24,held-out,True
cytoplasmic,ANKZF1,PSMA6,training,False
cytoplasmic,CCT3,CCT4,held-out,False
cytoplasmic,CCT3,CCT5,held-out,False
cytoplasmic,CCT3,CCT6A,held-out,False
cytoplasmic,CCT3,PDCL3,held-out,False
cytoplasmic,GSK3A,GSK3B,training,False
cytoplasmic,GYG1,GYG2,training,False
cytoplasmic,GYG1,GYS1,training,False
cytoplasmic,IKBKB,CDC37,held-out,False
cytoplasmic,KIF3B,KIFAP3,training,False
cytoplasmic,MAP2K1,ARAF,held-out,False
cytoplasmic,MAP2K1,MAP2K2,held-out,False
cytoplasmic,MAP2K1,RAF1,held-out,False
cytoplasmic,MAP2K1,YWHAB,held-out,False
cytoplasmic,MAP2K1,YWHAE,held-out,False
cytoplasmic,MAP2K1,YWHAQ,held-out,False
cytoplasmic,METAP2,ABCE1,training,False
cytoplasmic,METAP2,CAPRIN1,training,False
cytoplasmic,METAP2,CTPS1,training,False
cytoplasmic,METAP2,DRG1,training,False
cytoplasmic,METAP2,EIF2S3,training,False
cytoplasmic,METAP2,EIF3B,training,False
cytoplasmic,METAP2,EIF3E,training,False
cytoplasmic,METAP2,EIF3G,training,False
cytoplasmic,METAP2,EIF3I,training,False
cytoplasmic,METAP2,EIF3K,training,False
cytoplasmic,METAP2,EIF3M,training,False
cytoplasmic,METAP2,EIF4A1,training,False
cytoplasmic,METAP2,FAU,training,False
cytoplasmic,METAP2,NUFIP2,training,False
cytoplasmic,METAP2,PABPC4,training,False
cytoplasmic,METAP2,RACK1,training,False
cytoplasmic,METAP2,RPL10A,training,False
cytoplasmic,METAP2,RPL13,training,False
cytoplasmic,METAP2,RPL19,training,False
cytoplasmic,METAP2,RPL27,training,False
cytoplasmic,METAP2,RPL35,training,False
cytoplasmic,METAP2,RPL4,training,True
cytoplasmic,METAP2,RPS11,training,False
cytoplasmic,METAP2,RPS14,training,False
cytoplasmic,METAP2,RPS16,training,True
cytoplasmic,METAP2,RPS18,training,False
cytoplasmic,METAP2,SRP68,training,False
cytoplasmic,METAP2,SRP72,training,True
cytoplasmic,METAP2,UPF1,training,False
cytoplasmic,METAP2,USP10,training,False
cytoplasmic,OXSR1,WNK1,held-out,False
cytoplasmic,PAK4,YWHAE,training,False
cytoplasmic,RELA,IKBKB,held-out,True
cytoplasmic,RELA,NFKB1,held-out,False
cytoplasmic,RELA,NFKB2,held-out,False
cytoplasmic,RPL4,ABCE1,training,False
cytoplasmic,RPL4,EIF3G,training,False
cytoplasmic,RPL4,EIF3K,training,False
cytoplasmic,RPL4,EIF3M,training,False
cytoplasmic,RPL4,NUFIP2,training,False
cytoplasmic,RPL4,PABPC4,training,False
cytoplasmic,RPL4,RACK1,training,False
cytoplasmic,RPL4,RPL10A,training,False
cytoplasmic,RPL4,RPL13,training,False
cytoplasmic,RPL4,RPL19,training,False
cytoplasmic,RPL4,RPL27,training,False
cytoplasmic,RPL4,RPL35,training,False
cytoplasmic,RPL4,RPS11,training,False
cytoplasmic,RPL4,RPS14,training,False
cytoplasmic,RPL4,RPS16,training,True
cytoplasmic,RPL4,RPS18,training,False
cytoplasmic,RPL4,SRP19,training,False
cytoplasmic,RPL4,SRP68,training,False
cytoplasmic,RPL4,SRP72,training,True
cytoplasmic,RPS16,ABCE1,training,False
cytoplasmic,RPS16,ANKRD17,training,False
cytoplasmic,RPS16,CAPRIN1,training,False
cytoplasmic,RPS16,DRG1,training,False
cytoplasmic,RPS16,EEF1G,training,False
cytoplasmic,RPS16,EIF2S3,training,False
cytoplasmic,RPS16,EIF3B,training,False
cytoplasmic,RPS16,EIF3E,training,False
cytoplasmic,RPS16,EIF3G,training,False
cytoplasmic,RPS16,EIF3I,training,False
cytoplasmic,RPS16,EIF3K,training,False
cytoplasmic,RPS16,EIF3M,training,False
cytoplasmic,RPS16,EIF4A1,training,False
cytoplasmic,RPS16,EIF5,training,False
cytoplasmic,RPS16,FAU,training,False
cytoplasmic,RPS16,FXR1,training,False
cytoplasmic,RPS16,FXR2,training,True
cytoplasmic,RPS16,NEMF,training,True
cytoplasmic,RPS16,NUFIP2,training,False
cytoplasmic,RPS16,PABPC4,training,False
cytoplasmic,RPS16,RACK1,training,False
cytoplasmic,RPS16,RIOK3,training,False
cytoplasmic,RPS16,RPL10A,training,False
cytoplasmic,RPS16,RPL13,training,False
cytoplasmic,RPS16,RPL19,training,False
cytoplasmic,RPS16,RPL27,training,False
cytoplasmic,RPS16,RPL35,training,False
cytoplasmic,RPS16,RPS11,training,False
cytoplasmic,RPS16,RPS14,training,False
cytoplasmic,RPS16,RPS18,training,False
cytoplasmic,RPS16,SRP19,training,False
cytoplasmic,RPS16,SRP68,training,False
cytoplasmic,RPS16,SRP72,training,True
cytoplasmic,RPS16,UBA5,training,False
cytoplasmic,RPS16,UPF1,training,False
cytoplasmic,RPS16,USP10,training,False
cytoplasmic,RPS6KA1,CDC37,training,False
cytoplasmic,SRP72,ABCE1,training,False
cytoplasmic,SRP72,DRG1,training,False
cytoplasmic,SRP72,EIF2S3,training,False
cytoplasmic,SRP72,EIF3B,training,False
cytoplasmic,SRP72,EIF3E,training,False
cytoplasmic,SRP72,EIF3G,training,False
cytoplasmic,SRP72,EIF3I,training,False
cytoplasmic,SRP72,EIF3K,training,False
cytoplasmic,SRP72,EIF3M,training,False
cytoplasmic,SRP72,EIF4A1,training,False
cytoplasmic,SRP72,FXR1,training,False
cytoplasmic,SRP72,G3BP2,training,False
cytoplasmic,SRP72,NUFIP2,training,False
cytoplasmic,SRP72,PABPC4,training,False
cytoplasmic,SRP72,RACK1,training,False
cytoplasmic,SRP72,RPL10A,training,False
cytoplasmic,SRP72,RPL13,training,False
cytoplasmic,SRP72,RPL27,training,False
cytoplasmic,SRP72,RPL35,training,False
cytoplasmic,SRP72,RPS11,training,False
cytoplasmic,SRP72,RPS14,training,False
cytoplasmic,SRP72,RPS18,training,False
cytoplasmic,SRP72,SRP19,training,False
cytoplasmic,SRP72,SRP68,training,False
cytoplasmic,SRP72,USP10,training,False
cytoplasmic,STK26,GLUL,training,False
cytoplasmic,STK26,STK24,training,False
cytoplasmic,WASF2,WASF1,training,False
er,ARF4,ARF5,held-out,False
er,ARF4,BCAP31,held-out,False
er,ARL6IP1,ARL6IP5,training,False
er,ARL6IP1,ATL2,training,False
er,ARL6IP1,ATL3,training,False
er,ARL6IP1,BCAP31,training,False
er,ARL6IP1,REEP4,training,False
er,ARL6IP1,REEP5,training,False
er,DDOST,ATL3,held-out,False
er,DDOST,BCAP31,held-out,False
er,DDOST,CANX,held-out,False
er,DDOST,CCDC47,held-out,True
er,DDOST,DAD1,held-out,False
er,DDOST,EMC1,held-out,True
er,DDOST,EMC2,held-out,True
er,DDOST,EMC3,held-out,True
er,DDOST,EMC8,held-out,False
er,DDOST,FAM241A,held-out,False
er,DDOST,KRTCAP2,held-out,False
er,DDOST,OSTC,held-out,False
er,DDOST,PGRMC1,held-out,False
er,DDOST,RPN1,held-out,False
er,DDOST,RPN2,held-out,False
er,DDOST,SPTLC1,held-out,True
er,DDOST,SRPRB,held-out,False
er,DDOST,STT3A,held-out,True
er,DDOST,STT3B,held-out,True
er,DDOST,VRK2,held-out,False
er,EMC1,EMC4,training,False
er,EMC1,EMC7,training,False
er,EMC1,EMC8,training,False
er,EMC2,CCDC47,held-out,True
er,EMC2,EMC1,held-out,True
er,EMC2,EMC3,held-out,True
er,EMC2,EMC4,held-out,False
er,EMC2,EMC7,held-out,False
er,EMC2,EMC8,held-out,False
er,EMC2,EMC9,held-out,False
er,EMC2,MMGT1,held-out,False
er,EMC2,PGRMC1,held-out,False
er,EMC3,CCDC47,held-out,True
er,EMC3,EMC1,held-out,True
er,EMC3,EMC4,held-out,False
er,EMC3,EMC7,held-out,False
er,EMC3,EMC8,held-out,False
er,MBOAT7,SGPL1,held-out,True
er,SGPL1,CYB5R3,held-out,False
er,SPTLC1,SPTLC2,training,False
er,SRPRA,SRPRB,training,False
er,STT3A,FAM241A,training,False
er,STT3A,RPN1,training,False
er,STT3A,RPN2,training,False
er,STT3B,CANX,training,False
er,STT3B,CCDC47,training,True
er,STT3B,EMC1,training,True
er,STT3B,EMC2,training,True
er,STT3B,EMC8,training,False
er,STT3B,PGRMC1,training,False
er,STT3B,RPN1,training,False
er,STT3B,RPN2,training,False
er,STT3B,SPTLC1,training,True
er,STT3B,STT3A,training,True
er,STT3B,VRK2,training,False
er,STX18,BNIP1,training,False
er,STX18,PGRMC1,training,False
er,STX18,SRPRB,training,False
er,STX18,STIM1,training,False
er,TMEM147,CCDC47,training,True
er,TMEM147,NCLN,training,True
membrane,AP2B1,AP2S1,held-out,True
membrane,CTNNB1,AKAP12,training,True
membrane,HSPA12A,AKAP12,held-out,True
membrane,KRAS,ACTR2,training,False
membrane,MYO1B,MYO1C,training,True
membrane,PIP4K2C,ACTR2,training,False
membrane,SEPTIN7,SEPTIN5,held-out,False
membrane,YES1,FYN,training,False
nucleolus_gc,DDX21,RSL1D1,held-out,True
nucleolus_gc,DHX37,UTP14A,training,True
nucleolus_gc,SLX9,BUD23,held-out,False
nucleolus_gc,SLX9,BYSL,held-out,False
nucleolus_gc,SLX9,DHX37,held-out,True
nucleolus_gc,SLX9,UTP14A,held-out,True
nucleolus_gc,SRP9,C7orf50,training,True
nucleolus_gc,SRP9,EBNA1BP2,training,False
nucleolus_gc,SRP9,GNL2,training,False
nucleolus_gc,SRP9,GNL3,training,True
nucleolus_gc,SRP9,GTPBP4,training,False
nucleolus_gc,SRP9,MYBBP1A,training,False
nucleolus_gc,SRP9,NCL,training,False
nucleolus_gc,SRP9,NEPRO,training,False
nucleolus_gc,SRP9,NMD3,training,True
nucleolus_gc,SRP9,RBM34,training,True
nucleolus_gc,SRP9,RSL1D1,training,True
nucleolus_gc,WDR12,BOP1,training,True
nucleolus_gc,WDR12,PES1,training,False
nucleoplasm,CD2BP2,C9orf78,held-out,False
nucleoplasm,CDK12,CDK9,training,False
nucleoplasm,H1-0,PHF10,training,False
nucleoplasm,H1-0,SMARCA1,training,False
nucleoplasm,H1-0,SMARCB1,training,True
nucleoplasm,HNRNPC,HNRNPA0,held-out,False
nucleoplasm,HNRNPC,HNRNPD,held-out,False
nucleoplasm,HNRNPC,HNRNPL,held-out,False
nucleoplasm,HNRNPC,HNRNPU,held-out,False
nucleoplasm,HSPA4,DNAJC9,held-out,False
nucleoplasm,NUMA1,DDB1,held-out,False
nucleoplasm,NUMA1,H1-0,held-out,True
nucleoplasm,NUMA1,PHF10,held-out,False
nucleoplasm,NUMA1,RBBP4,held-out,True
nucleoplasm,NUMA1,SMARCA1,held-out,False
nucleoplasm,NUMA1,SMARCA4,held-out,False
nucleoplasm,NUMA1,SMARCB1,held-out,True
nucleoplasm,NUMA1,SMARCE1,held-out,True
nucleoplasm,POLR2C,POLR2A,training,False
nucleoplasm,POLR2C,POLR2D,training,False
nucleoplasm,POLR2C,POLR2G,training,False
nucleoplasm,POLR2C,POLR2I,training,True
nucleoplasm,POLR2I,POLR2A,training,False
nucleoplasm,POLR2I,POLR2D,training,False
nucleoplasm,POLR2I,POLR2G,training,False
nucleoplasm,POLR2I,SUPT5H,training,False
nucleoplasm,PPM1G,DNTTIP1,training,False
nucleoplasm,PPM1G,TRIM28,training,True
nucleoplasm,PSMB4,PSMA5,training,False
nucleoplasm,PSMB4,PSMC2,training,False
nucleoplasm,PSMB4,PSMC4,training,False
nucleoplasm,PSMB4,PSMC5,training,False
nucleoplasm,PSMB4,PSMD1,training,False
nucleoplasm,PSMB4,PSMD13,training,False
nucleoplasm,PSMB4,PSMD2,training,False
nucleoplasm,PSMB4,PSME4,training,False
nucleoplasm,PSMD7,PSMA5,training,False
nucleoplasm,PSMD7,PSMC4,training,False
nucleoplasm,PSMD7,PSMC5,training,False
nucleoplasm,PSMD7,PSMD1,training,False
nucleoplasm,PSMD7,PSMD13,training,False
nucleoplasm,PSMD7,PSMD2,training,False
nucleoplasm,PSME3,PSMA5,training,False
nucleoplasm,PSME3,PSMC4,training,False
nucleoplasm,PSME3,TRIM28,training,True
nucleoplasm,RBBP4,CTBP2,training,False
nucleoplasm,RBBP4,HDAC1,training,True
nucleoplasm,RBBP4,HDAC2,training,False
nucleoplasm,RBM4,SAE1,held-out,False
nucleoplasm,SMARCB1,ARID1A,held-out,False
nucleoplasm,SMARCB1,ARID1B,held-out,False
nucleoplasm,SMARCB1,SMARCC1,held-out,True
nucleoplasm,SMARCB1,SMARCC2,held-out,False
nucleoplasm,SMARCB1,SMARCD1,held-out,False
nucleoplasm,SMARCB1,SMARCD2,held-out,False
nucleoplasm,SMARCB1,SMARCE1,held-out,True
nucleoplasm,SMARCC1,ARID1A,training,False
nucleoplasm,SMARCC1,ARID1B,training,False
nucleoplasm,SMARCC1,SMARCD1,training,False
nucleoplasm,SMARCC1,SMARCD2,training,False
nucleoplasm,SMARCC1,SMARCE1,training,True
nucleoplasm,SMARCE1,ARID1A,training,False
nucleoplasm,SMARCE1,ARID1B,training,False
nucleoplasm,SMARCE1,PHF10,training,False
nucleoplasm,SMARCE1,SMARCA4,training,False
nucleoplasm,SMARCE1,SMARCC2,training,False
nucleoplasm,SMARCE1,SMARCD1,training,False
nucleoplasm,SMARCE1,SMARCD2,training,False
nucleoplasm,TRIM28,SMARCAD1,training,False
nucleoplasm,TRIM28,TRIM33,training,False
vesicles,ATP6V1A,ATP6V0A1,held-out,False
vesicles,ATP6V1A,ATP6V0D1,held-out,False
vesicles,ATP6V1A,ATP6V1B2,held-out,False
vesicles,ATP6V1A,ATP6V1H,held-out,False
vesicles,CCDC93,CCDC22,held-out,False
vesicles,CCDC93,COMMD1,held-out,False
vesicles,CCDC93,COMMD2,held-out,False
vesicles,CCDC93,COMMD4,held-out,False
vesicles,CCDC93,COMMD6,held-out,False
vesicles,CCDC93,VPS29,held-out,False
vesicles,GOSR2,BET1,training,False
vesicles,GOSR2,BET1L,training,False
vesicles,GOSR2,GOSR1,training,False
vesicles,GOSR2,SEC22B,training,True
vesicles,SLC6A15,STX12,held-out,True
vesicles,SNX4,SNX2,training,False
vesicles,SNX4,SNX7,training,False
vesicles,SNX5,SNX1,held-out,False
vesicles,SNX5,SNX2,held-out,False
vesicles,STX12,ATP6V1A,held-out,True
vesicles,STX12,RAB14,held-out,False
vesicles,STX12,STX10,held-out,False
vesicles,STX12,STX6,held-out,True
vesicles,STX12,STX8,held-out,False
vesicles,STX12,VAMP8,held-out,False
vesicles,STX12,VPS28,held-out,False
vesicles,STX12,VTI1B,held-out,False
vesicles,STX7,ARL8B,training,False
vesicles,STX7,RAB14,training,False
vesicles,STX7,SLC6A15,training,True
vesicles,STX7,STX10,training,False
vesicles,STX7,STX12,training,True
vesicles,STX7,STX8,training,False
vesicles,STX7,VAMP4,training,False
vesicles,STX7,VAMP8,training,False
vesicles,STX7,VTI1B,training,False
