gene,n_residues,rg_angstrom,rh_angstrom,dmax_angstrom,asphericity,anisotropy,axial_ratio,perrin_friction,compactness_vs_globular,diffusion_relative,net_charge,isoelectric_point,surface_charge,charge_dipole
CCDC93,631,60.98,78.66,231.42,0.7705,0.597,4.429,1.2116,2.3918,0.2098,4.4,8.26,-3.9,419.5
CCT3,545,30.96,39.94,103.88,0.4159,0.2128,2.77,1.0964,1.284,0.4567,-4.1,6.07,-6.4,298.1
CCT4,539,30.35,39.16,99.26,0.4661,0.2431,2.751,1.095,1.2641,0.4665,2.6,7.76,-7.6,123.8
CCT5,541,30.51,39.36,101.29,0.4954,0.2701,2.927,1.1074,1.2688,0.4589,-12.9,5.34,-13.3,116.3
CCT6A,531,29.87,38.54,101.18,0.5636,0.3296,2.936,1.108,1.2512,0.4684,-3.8,6.23,-3.1,301.2
CD2BP2,341,43.63,56.29,143.46,0.6798,0.4647,3.188,1.1258,2.1625,0.3156,-27.7,4.34,-15.8,376.5
CD63,238,24.06,31.03,83.59,0.7085,0.504,3.358,1.1377,1.3668,0.5665,3.2,7.7,7.0,34.0
CDC42BPB,1711,56.93,73.44,237.89,0.3203,0.1185,1.885,1.0366,1.5287,0.2627,-23.6,5.94,-21.3,1557.4
CDC7,574,35.78,46.16,141.68,0.2866,0.0904,1.682,1.0245,1.455,0.4229,14.5,8.86,10.7,759.3
CDK12,1490,57.42,74.07,187.66,0.1262,0.0183,1.259,1.0048,1.6249,0.2687,49.1,9.82,45.3,937.2
CDK2,298,19.69,25.4,62.53,0.3292,0.1304,2.002,1.044,1.0272,0.7541,5.0,8.98,-5.3,72.2
CDK7,346,23.71,30.59,84.03,0.2875,0.1439,2.356,1.0676,1.1688,0.6124,5.0,8.61,6.6,302.2
CDK9,372,23.19,29.91,79.86,0.2655,0.0719,1.511,1.0154,1.1117,0.6585,8.8,9.01,9.4,213.1
CERS5,392,31.23,40.29,135.46,0.7062,0.5001,3.243,1.1296,1.468,0.4395,3.9,7.87,-1.7,183.6
CERS6,384,28.75,37.08,107.51,0.5731,0.3365,2.81,1.0992,1.3619,0.4907,1.8,7.49,-1.7,130.8
CHEK1,476,24.22,31.25,81.69,0.1703,0.0404,1.442,1.0121,1.0576,0.6324,6.0,8.23,10.2,175.2
CHEK2,543,35.46,45.74,123.98,0.2478,0.0692,1.58,1.0189,1.4726,0.4291,-9.9,5.57,-19.6,410.3
CHM,653,33.13,42.74,126.41,0.0966,0.0254,1.321,1.007,1.2826,0.4648,-40.0,4.52,-41.7,550.7
CHMP1A,196,26.18,33.78,93.26,0.6364,0.4074,2.85,1.102,1.6016,0.5373,1.1,8.58,-9.0,206.1
CHMP3,222,31.31,40.38,119.66,0.5337,0.3129,3.426,1.1425,1.8264,0.4335,-7.9,4.95,-17.0,590.2
CHMP4B,224,44.95,57.98,136.07,0.6659,0.4639,5.201,1.2629,2.6133,0.2731,-14.8,4.61,-17.9,1610.3
CHMP7,453,36.21,46.71,117.42,0.6145,0.3857,3.113,1.1205,1.6111,0.3821,-10.6,5.12,-11.9,178.3
CLCN7,805,31.78,41.0,115.92,0.3317,0.122,1.864,1.0353,1.1364,0.4712,7.8,8.45,-4.6,387.1
CLINT1,625,48.62,62.72,150.59,0.1647,0.0303,1.343,1.0078,1.9141,0.3164,-4.2,5.99,-1.6,415.2
CLTA,248,46.77,60.33,132.13,0.6298,0.3999,2.879,1.104,2.6161,0.3003,-22.7,4.28,-9.8,560.2
CLTB,229,38.22,49.31,117.15,0.6723,0.456,3.274,1.1318,2.2038,0.3584,-16.9,4.42,-9.9,165.5
CLTC,1675,60.46,77.99,197.82,0.4722,0.2722,3.678,1.1601,1.6364,0.221,-37.5,5.39,-38.7,634.2
COMMD1,190,27.2,35.09,89.34,0.7476,0.5633,4.258,1.2001,1.6838,0.4749,-2.6,5.82,0.3,40.3
COMMD2,199,26.41,34.07,89.55,0.7755,0.6024,3.861,1.1728,1.6063,0.5005,-2.2,6.27,0.4,246.4
COMMD4,199,25.88,33.39,88.07,0.7738,0.6003,3.991,1.1818,1.5741,0.5069,0.4,7.07,-2.0,91.9
COMMD6,85,19.07,24.6,67.86,0.602,0.3637,2.558,1.0815,1.6022,0.7518,-0.9,5.64,-1.9,136.7
CORO1B,489,28.02,36.15,95.73,0.3407,0.1244,1.831,1.0333,1.211,0.5355,-9.9,5.53,-8.8,238.6
CPSF6,551,44.93,57.95,157.44,0.3947,0.1569,1.809,1.032,1.8554,0.3344,-0.8,6.72,-4.6,1086.0
CSE1L,971,34.55,44.57,103.38,0.3315,0.119,1.819,1.0325,1.1504,0.4346,-22.6,5.43,-42.2,418.2
CSK,450,25.18,32.48,81.92,0.3248,0.1399,2.159,1.0543,1.123,0.584,-0.9,6.64,4.6,141.3
CTCF,727,45.06,58.13,141.23,0.2862,0.0937,1.729,1.0272,1.6749,0.335,-4.7,6.51,-30.8,1183.4
CTNNB1,781,48.16,62.12,186.07,0.6713,0.4531,3.111,1.1204,1.7419,0.2874,-22.3,5.47,-39.7,324.4
CTNNBL1,563,32.76,42.26,104.57,0.4087,0.1749,2.039,1.0464,1.3419,0.4523,-33.5,4.82,-28.5,1324.7
CTPS1,591,26.2,33.8,90.59,0.2878,0.086,1.601,1.02,1.0536,0.5801,-8.2,6.01,-15.1,144.2
CUTC,273,19.53,25.19,74.66,0.0953,0.0159,1.25,1.0045,1.0533,0.7903,3.4,8.15,4.1,285.8
CYB5R3,301,23.89,30.82,104.98,0.4371,0.2109,2.424,1.0722,1.2414,0.6053,1.1,7.38,-8.5,162.9
DAD1,113,17.99,23.21,59.23,0.4154,0.2439,3.875,1.1738,1.3568,0.7341,0.1,6.9,-2.0,5.9
DBNL,430,41.93,54.09,143.0,0.5689,0.3241,2.333,1.066,1.9027,0.3469,-21.1,4.87,-14.4,420.4
DCP1A,582,47.41,61.15,152.15,0.2038,0.0747,1.711,1.0262,1.9175,0.3187,-9.4,5.81,-6.5,633.1
DCP1B,617,45.9,59.21,146.48,0.2133,0.0467,1.4,1.0102,1.8157,0.3344,7.3,8.68,0.5,469.0
DCP2,420,30.44,39.27,105.18,0.2553,0.0716,1.579,1.0189,1.3938,0.4999,4.2,7.92,4.6,150.0
DDB1,1140,33.95,43.8,100.35,0.3123,0.1035,1.712,1.0262,1.0636,0.445,-41.2,5.01,-45.7,304.7
DDOST,456,36.78,47.45,146.98,0.574,0.3486,3.398,1.1405,1.6322,0.3696,-4.0,6.09,0.2,736.9
DDX21,783,40.46,52.2,153.85,0.1443,0.0258,1.325,1.0071,1.4623,0.3804,26.6,9.7,14.3,1184.2
DDX39B,428,23.13,29.84,83.84,0.227,0.0567,1.498,1.0147,1.0517,0.6605,-11.9,5.35,-24.6,427.0
DDX47,455,26.82,34.6,137.79,0.1942,0.08,1.757,1.0288,1.1912,0.5619,10.9,9.49,4.4,679.3
DDX56,547,27.74,35.79,118.75,0.2085,0.0787,1.743,1.028,1.149,0.5436,16.7,9.61,7.0,779.2
DHX37,1157,39.54,51.0,143.04,0.207,0.0472,1.444,1.0121,1.2317,0.3874,8.8,8.03,-17.6,986.4
DHX9,1270,36.79,47.46,135.55,0.1788,0.042,1.448,1.0123,1.1063,0.4163,-5.4,6.4,-15.1,501.1
DIAPH1,1272,60.83,78.47,231.36,0.678,0.4607,2.976,1.1108,1.828,0.2294,-29.5,5.18,-4.8,265.2
DNAJC13,2243,66.39,85.65,193.12,0.4736,0.2298,2.213,1.0579,1.6084,0.2207,-15.3,6.29,-45.9,1438.3
DNAJC17,304,61.34,79.13,172.57,0.9265,0.8586,7.535,1.4066,3.1755,0.1797,3.3,8.93,1.1,121.6
DNAJC2,621,59.62,76.91,195.3,0.7009,0.4988,4.014,1.1833,2.3527,0.2198,12.0,8.99,-7.7,351.0
DNM1,864,53.5,69.01,165.7,0.7112,0.5131,4.144,1.1923,1.8623,0.2431,-0.7,6.76,-11.3,310.1
DNM1L,736,50.73,65.44,162.34,0.7315,0.5351,3.12,1.121,1.8768,0.2726,-3.5,6.37,-13.4,391.4
DNTTIP1,329,35.04,45.21,127.19,0.3051,0.1019,1.739,1.0278,1.7606,0.4304,8.0,9.3,9.3,450.3
DRG1,367,23.9,30.83,73.99,0.2809,0.0936,1.751,1.0285,1.1519,0.6307,9.0,9.22,1.5,252.7
DYNC1LI1,523,40.45,52.18,154.68,0.3716,0.1583,2.136,1.0528,1.7041,0.3641,-5.0,5.98,-4.8,729.9
DYNC1LI2,492,39.24,50.62,141.5,0.3663,0.1569,2.157,1.0541,1.692,0.3748,-6.7,5.95,-3.9,722.5
ECPAS,1845,58.49,75.46,196.42,0.6967,0.4881,3.365,1.1382,1.5262,0.2329,-1.8,6.71,-15.3,521.7
EDC4,1401,53.38,68.86,219.82,0.4262,0.1844,1.957,1.0411,1.5464,0.279,-34.0,5.49,-29.6,844.0
EEA1,1411,89.21,115.09,336.76,0.6919,0.4821,3.384,1.1395,2.5775,0.1525,-35.1,5.44,-32.6,894.0
EEF1G,437,28.0,36.12,91.52,0.3885,0.1584,1.961,1.0414,1.2628,0.5317,-2.3,6.25,-11.7,202.2
EFTUD2,972,34.49,44.5,135.79,0.3554,0.1342,1.868,1.0355,1.1482,0.4341,-53.5,4.7,-59.0,1951.5
EIF2AK2,551,33.14,42.75,120.29,0.1538,0.0277,1.333,1.0074,1.3688,0.4644,7.0,8.5,-1.7,241.7
EIF3B,814,45.78,59.06,166.61,0.2591,0.0791,1.66,1.0233,1.6301,0.331,-41.5,4.74,-46.8,1436.6
EIF3G,320,38.46,49.62,114.67,0.5873,0.3562,3.086,1.1186,1.9529,0.3603,-2.7,5.79,-5.9,332.0
EIF3K,218,22.96,29.62,75.14,0.2236,0.1178,2.108,1.0509,1.3488,0.6425,-11.5,4.66,-12.7,118.4
EIF4A1,406,22.52,29.05,86.69,0.245,0.0823,1.733,1.0274,1.0446,0.67,-8.5,5.19,-11.9,250.3
EMC1,993,35.22,45.44,138.82,0.3809,0.1454,1.73,1.0272,1.163,0.4285,2.6,7.41,-9.5,525.1
EMC2,297,24.49,31.59,74.35,0.5028,0.278,3.003,1.1128,1.2792,0.5689,-2.4,6.15,-6.8,315.5
EMC3,261,27.96,36.07,81.06,0.4644,0.2477,2.925,1.1072,1.5338,0.5008,-0.7,6.4,-8.9,151.8
EMC4,183,41.24,53.21,173.39,0.8483,0.7237,8.0,1.4475,2.5895,0.2597,3.1,8.89,2.0,290.7
EMC7,242,38.94,50.24,133.13,0.7362,0.5492,4.592,1.2226,2.1987,0.3256,4.3,9.67,1.1,267.3
EMC8,210,16.11,20.78,48.43,0.1535,0.0264,1.317,1.0068,0.9597,0.9561,-6.6,5.92,-1.0,72.6
ERG28,140,17.26,22.27,65.07,0.6685,0.4501,3.171,1.1246,1.1998,0.7987,7.4,10.15,4.2,128.2
EZR,586,53.38,68.86,194.39,0.8722,0.761,5.34,1.2719,2.1534,0.2284,-7.8,5.89,-5.4,1160.9
FAM120A,1118,39.54,51.01,139.83,0.0585,0.008,1.164,1.0021,1.2479,0.3913,25.7,9.0,8.4,538.7
FAM241A,132,38.35,49.47,130.38,0.7908,0.6354,8.0,1.4616,2.7257,0.2766,-7.9,4.44,-5.9,328.6
FAM50B,325,37.19,47.98,120.15,0.6184,0.3888,3.036,1.1151,1.8773,0.3738,4.9,9.31,-6.7,358.9
FASN,2511,48.31,62.32,145.2,0.2994,0.1024,1.78,1.0302,1.1212,0.3115,-31.2,5.99,-41.6,481.9
FAU,133,37.71,48.64,103.94,0.9015,0.8129,6.082,1.319,2.6727,0.3117,11.3,10.65,11.1,1008.1
FKBP5,457,35.36,45.62,122.53,0.3461,0.1901,2.949,1.1089,1.568,0.3954,-7.3,5.61,-7.6,200.2
FTH1,183,18.98,24.48,66.39,0.6384,0.4091,2.791,1.0979,1.1913,0.7442,-10.0,5.22,-9.6,136.7
FXR1,621,54.59,70.42,191.72,0.7189,0.5177,3.267,1.1313,2.1543,0.251,-8.8,5.78,-9.5,737.4
FXR2,673,53.69,69.26,188.49,0.613,0.38,2.852,1.1021,2.055,0.262,-5.3,5.88,5.1,987.1
G3BP2,482,42.69,55.07,149.25,0.3006,0.1078,1.845,1.0341,1.855,0.3512,-15.7,5.3,-13.7,1613.4
GAK,1311,45.81,59.09,156.99,0.0992,0.0106,1.185,1.0026,1.3609,0.3376,-29.1,5.4,-32.5,1327.6
GAPDH,335,19.83,25.58,64.8,0.3643,0.1354,1.779,1.0302,0.9896,0.7588,4.0,8.7,-3.4,54.4
GLUL,373,20.98,27.07,59.72,0.2018,0.0653,1.633,1.0217,1.005,0.7232,-1.9,6.44,-7.6,59.7
GNL2,731,39.39,50.81,130.66,0.0924,0.009,1.166,1.0021,1.461,0.3928,20.2,9.66,-5.4,1930.5
GNL3,549,33.43,43.12,121.34,0.2239,0.0559,1.499,1.0148,1.3823,0.4571,18.8,9.55,13.6,756.8
GOSR1,250,49.35,63.66,152.37,0.6986,0.5113,8.0,1.4352,2.7521,0.2189,7.9,9.79,7.7,544.6
GOSR2,212,35.1,45.28,141.42,0.7812,0.6179,6.135,1.3224,2.0838,0.334,1.8,8.22,3.6,362.8
GPAT4,456,28.39,36.63,112.41,0.4275,0.2112,2.573,1.0826,1.26,0.5044,15.0,9.48,7.3,195.2
GSK3A,483,28.92,37.31,120.06,0.2796,0.0872,1.675,1.0241,1.2558,0.5234,8.7,8.88,9.1,222.5
GSK3B,420,27.62,35.63,112.42,0.3865,0.1643,2.101,1.0504,1.2648,0.5343,9.7,8.9,3.2,187.9
GSPT1,499,25.71,33.17,112.7,0.1605,0.0514,1.533,1.0165,1.1027,0.5932,-15.6,5.34,-23.5,389.3
GYG1,350,23.16,29.88,82.49,0.3091,0.1018,1.709,1.026,1.1367,0.6523,-10.1,5.16,-8.6,172.7
H1-0,194,40.32,52.01,127.18,0.2642,0.1485,2.474,1.0757,2.4757,0.3575,53.2,11.33,45.0,459.1
H2AZ1,128,26.34,33.98,113.34,0.8085,0.6568,5.261,1.2668,1.8943,0.4646,14.6,11.05,13.3,93.0
HDAC1,482,28.22,36.41,107.03,0.406,0.1687,1.93,1.0394,1.2263,0.5286,-17.6,5.2,-19.8,411.8
HDAC2,488,30.62,39.5,117.93,0.482,0.2335,2.067,1.0482,1.3242,0.4831,-13.4,5.53,-18.6,262.9
HMGB2,209,28.76,37.1,83.0,0.516,0.2913,3.111,1.1204,1.7168,0.4812,1.4,7.92,-13.0,613.5
HMGN2,90,35.27,45.5,112.0,0.5756,0.3735,5.591,1.2881,2.9,0.3413,12.0,10.51,9.0,219.3
HNRNPC,306,39.22,50.59,125.28,0.3297,0.109,1.606,1.0203,2.0254,0.3874,-11.8,4.8,-16.9,1026.0
HNRNPD,355,38.76,50.0,131.49,0.294,0.1259,2.095,1.0501,1.8916,0.381,1.5,7.89,-3.8,421.3
HNRNPH1,449,37.15,47.92,120.45,0.2792,0.0838,1.627,1.0214,1.6582,0.4086,-6.8,5.86,-2.6,417.3
HNRNPU,825,45.03,58.09,161.18,0.1397,0.036,1.416,1.0109,1.5953,0.3406,-11.7,5.68,-6.6,3021.5
HSF1,529,47.91,61.81,188.99,0.4626,0.2226,2.262,1.0612,2.0097,0.3049,-20.7,4.89,-17.5,549.4
HSPA12A,675,30.08,38.8,135.37,0.4009,0.1669,1.974,1.0422,1.15,0.4946,-3.6,6.32,-14.3,191.8
HSPA14,509,28.69,37.01,96.89,0.564,0.3216,2.527,1.0794,1.2212,0.5006,-10.2,5.3,-15.6,176.2
HSPA4,840,41.93,54.1,132.33,0.3597,0.1617,2.286,1.0628,1.4755,0.3479,-26.2,4.96,-38.7,465.6
IKBKB,756,41.29,53.27,152.56,0.6361,0.4095,3.052,1.1162,1.5123,0.3364,-13.7,5.48,-19.7,253.9
IMP3,184,22.58,29.13,77.57,0.3721,0.2174,3.514,1.1487,1.4149,0.5977,6.6,9.87,-1.5,241.8
INPP4A,977,40.12,51.76,146.94,0.5081,0.2732,2.684,1.0903,1.333,0.3544,-3.4,6.53,-23.2,666.4
INPP5K,448,25.72,33.18,111.5,0.4975,0.2559,2.41,1.0713,1.1493,0.5626,-4.8,6.07,-8.5,431.3
IPO11,975,39.08,50.41,120.74,0.4257,0.1973,2.284,1.0627,1.2993,0.3733,-34.7,5.01,-51.9,549.7
IRAK1,712,40.26,51.93,156.64,0.1762,0.0512,1.53,1.0163,1.5083,0.3789,-5.4,6.17,-8.5,404.8
ITPR3,2671,59.19,76.35,197.2,0.2906,0.0977,1.761,1.0291,1.3418,0.2545,-34.2,6.03,-43.7,666.8
JUN,331,40.64,52.43,123.33,0.2527,0.0928,1.824,1.0328,2.0372,0.3693,4.8,9.11,0.5,250.7
JUNB,347,40.51,52.26,122.36,0.2425,0.0597,1.45,1.0124,1.9947,0.378,8.8,9.54,3.5,338.7
KIAA0319L,1049,74.86,96.57,256.18,0.69,0.4823,3.701,1.1617,2.4207,0.1783,-15.9,5.65,1.8,1219.3
KIAA1143,154,32.42,41.83,91.75,0.264,0.1042,1.921,1.0388,2.1735,0.4603,-1.8,5.78,0.2,227.2
KIF20A,890,46.72,60.28,175.02,0.5618,0.3248,2.794,1.0981,1.6083,0.3022,-3.1,6.48,-11.4,876.1
KIF3B,747,39.2,50.57,158.59,0.4275,0.2201,2.794,1.098,1.442,0.3602,1.6,7.58,-9.0,821.3
KIF4A,1232,60.3,77.78,204.63,0.4075,0.1753,2.065,1.0481,1.8342,0.2453,-10.5,5.92,-11.3,867.6
KIFBP,621,33.67,43.44,123.85,0.6645,0.4422,2.815,1.0995,1.3288,0.4188,-26.7,5.23,-42.0,691.3
KRAS,189,19.03,24.55,83.78,0.4912,0.242,2.07,1.0484,1.1805,0.7769,-0.7,6.37,-4.8,216.9
LAMP1,417,27.69,35.72,108.47,0.3833,0.1503,1.85,1.0345,1.2713,0.5413,8.9,8.83,7.4,193.5
LAMTOR2,125,13.93,17.97,41.21,0.1445,0.0493,1.512,1.0154,1.0111,1.0958,-1.0,5.15,-3.0,53.3
LDHA,332,21.22,27.37,85.01,0.4296,0.1882,1.996,1.0436,1.0624,0.7001,3.7,8.35,2.3,102.0
LMAN1,510,34.32,44.27,146.71,0.2839,0.11,1.935,1.0397,1.4596,0.4345,-4.3,6.31,-4.1,294.7
LNPK,428,42.73,55.12,139.42,0.3507,0.1386,1.982,1.0427,1.9426,0.348,-13.6,4.91,-18.8,700.0
LPCAT1,534,26.52,34.21,86.73,0.3537,0.1337,1.876,1.036,1.1083,0.5643,-5.4,5.69,-10.7,472.5
